,suburb,sold_year,sold_month,count,avg_bedroom,avg_bathroom,avg_car_space,avg_land_size,avg_building_size,avg_built_year,avg_price,perth,east_perth,west_perth,northbridge,crawley,nedlands
99,East Perth,2021,7,15,2.2,1.7333333333333334,1.2,210.46666666666667,106.73333333333333,1998.6666666666667,723400.0,0,0,0,0,0,0
100,East Perth,2021,8,2,2.0,1.5,1.0,105.0,86.0,2007.5,417000.0,0,0,0,0,0,0
101,Nedlands,2017,12,4,3.25,2.0,2.5,630.0,395.0,1974.75,1621500.0,0,0,0,0,0,1
102,Nedlands,2018,1,8,4.375,2.125,2.625,907.0,240.0,1960.125,1805625.0,0,0,0,0,0,1
103,Nedlands,2018,2,12,3.3333333333333335,2.0,3.0,661.6666666666666,249.16666666666666,1961.0,1654375.0,0,0,0,0,0,1
104,Nedlands,2018,3,15,2.933333333333333,1.6666666666666667,1.8,442.26666666666665,156.86666666666667,1964.8,980333.3333333334,0,0,0,0,0,1
105,Nedlands,2018,4,6,2.8333333333333335,1.3333333333333333,2.0,636.5,195.33333333333334,1964.6666666666667,1462500.0,0,0,0,0,0,1
106,Nedlands,2018,5,8,3.75,2.125,2.25,559.0,236.375,1984.75,1378125.0,0,0,0,0,0,1
107,Nedlands,2018,6,6,3.3333333333333335,1.8333333333333333,1.8333333333333333,630.5,247.33333333333334,1968.8333333333333,1561666.6666666667,0,0,0,0,0,1
108,Nedlands,2018,7,4,4.25,2.75,2.5,846.0,313.5,1969.5,1637500.0,0,0,0,0,0,1
109,Nedlands,2018,8,2,4.0,2.0,2.0,705.0,221.0,1923.0,1260000.0,0,0,0,0,0,1
110,Nedlands,2018,9,6,3.6666666666666665,1.8333333333333333,2.1666666666666665,621.6666666666666,204.5,1969.3333333333333,1361166.6666666667,0,0,0,0,0,1
111,Nedlands,2018,10,7,3.0,1.5714285714285714,2.0,729.5714285714286,178.42857142857142,1960.857142857143,1322571.4285714286,0,0,0,0,0,1
112,Nedlands,2018,11,6,2.8333333333333335,1.6666666666666667,2.0,571.8333333333334,250.16666666666666,1990.5,1401666.6666666667,0,0,0,0,0,1
