,address,agent,bathrooms,bedrooms,building_size,built_date,car_space,full_address,land_size,lat,lng,postcode,price,property_type,rent,rent_date,sale_id,sold_date,state,suburb,perth,east_perth,west_perth,northbridge,crawley,nedlands
867,6/32 Fielder Street,not recorded,2,3,128,2007,2,6/32 Fielder Street East Perth WA 6004,210,-31.950757399999997,115.8733864,6004,640000,House,0,1900-01,868,2020,WA,East Perth,0,1,0,0,0,0
874,73 Fairway,Jack Bradshaw,1,2,131,1939,2,73 Fairway Crawley WA 6009,607,-31.982159600000003,115.8153668,6009,1180000,House,550,2021-08,875,2021,WA,Crawley,0,0,0,0,1,0
875,65 Fairway,Jack Bradshaw,1,2,77,1921,2,65 Fairway Crawley WA 6009,607,-31.981745500000002,115.8153668,6009,1225000,House,310,2008-06,876,2021,WA,Crawley,0,0,0,0,1,0
877,55 Fairway,Brian Neo,2,3,164,1948,2,55 Fairway Crawley WA 6009,607,-31.981051500000003,115.8153206,6009,1275000,House,0,1900-01,878,2021,WA,Crawley,0,0,0,0,1,0
878,6/9-11 Wingfield Avenue,Michelle Kerr,2,3,148,1972,3,6/9-11 Wingfield Avenue Crawley WA 6009,154,-31.97265,115.82405,6009,920000,House,0,1900-01,879,2021,WA,Crawley,0,0,0,0,1,0
882,7/131 Fairway,Michelle Kerr,2,3,130,2000,2,7/131 Fairway Crawley WA 6009,159,-31.9854781,115.8154361,6009,860000,House,670,2021-02,883,2021,WA,Crawley,0,0,0,0,1,0
884,5/20 Park Road,Belinda Airey,1,2,90,2004,1,5/20 Park Road Crawley WA 6009,86,-31.9747065,115.81402649999998,6009,639000,Townhouse,500,2010-11,885,2021,WA,Crawley,0,0,0,0,1,0
889,2/15 COOK STREET,Peter Zambotti,1,3,116,1981,1,2/15 COOK STREET Crawley WA 6009,119,-31.983743800000003,115.81617560000001,6009,635000,House,750,2012-03,890,2021,WA,Crawley,0,0,0,0,1,0
896,8E Park Road,not recorded,1,1,81,1999,1,8E Park Road Crawley WA 6009,116,-31.97478,115.81486000000001,6009,525000,House,500,2019-01,897,2020,WA,Crawley,0,0,0,0,1,0
898,1/31 Caporn Street,not recorded,1,3,102,1981,1,1/31 Caporn Street Crawley WA 6009,95,-31.984720000000003,115.81743,6009,530000,Townhouse,0,1900-01,899,2020,WA,Crawley,0,0,0,0,1,0
900,1/139 Fairway,not recorded,1,2,100,1978,2,1/139 Fairway Crawley WA 6009,95,-31.9859381,115.8153206,6009,540000,Townhouse,0,1900-01,901,2020,WA,Crawley,0,0,0,0,1,0
1120,95 Broadway,not recorded,3,5,268,1923,0,95 Broadway Nedlands WA 6009,883,-31.9827834,115.8142114,6009,2280000,House,995,2014-09,1121,2021,WA,Nedlands,0,0,0,0,0,1
1121,42 Kinninmont Avenue,Jac Fear,1,3,186,1950,1,42 Kinninmont Avenue Nedlands WA 6009,1012,-31.977642799999998,115.8049908,6009,2050000,House,0,1900-01,1122,2021,WA,Nedlands,0,0,0,0,0,1
1123,50 Kanimbla Road,David Airey,2,3,90,1985,2,50 Kanimbla Road Nedlands WA 6009,297,-31.9742262,115.8157976,6009,1000000,House,0,1900-01,1124,2021,WA,Nedlands,0,0,0,0,0,1
