,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,rent,rent date,Building size
231,88a Bruce Street,"$1,250,000",Jun 2018,House,3,3,2,419,Abel McGrath Property Group - Claremont,$995pw,Aug 2014,
232,165 Broadway,"$600,000",Jun 2018,,,,,244,,,,
233,84 Mountjoy Road,"$1,775,000",Jun 2018,House,3,1,,"1,012",Abel McGrath Property Group - Claremont,$590pw,May 2015,
234,67C Loftus Street,"$710,000",Jun 2018,,,,,268,Abel McGrath Property Group - Claremont,,,129
235,28 Napier Street,"$1,780,000",May 2018,House,4,2,3,697,Abel McGrath Property Group - Claremont,,,321
236,6 LEOPOLD STREET,"$1,950,000",May 2018,House,4,3,2,498,Space Real Estate - Cottesloe,,,127
237,70 Mountjoy Road,"$1,700,000",May 2018,House,4,2,2,"1,012",Kempton Azzopardi - Nedlands,"$1,250pw",Jun 2015,329
238,4/145 Stirling Highway,"$345,000",May 2018,,,,,"6,883",,,,
239,16 Dalkeith Road,"$1,675,000",May 2018,House,4,2,4,"1,034",Abel McGrath Property Group - Claremont,,,329
240,37 Marita Road,"$1,720,000",May 2018,House,6,2,,923,Abel McGrath Property Group - Claremont,,,
241,8/89 Winthrop Avenue,"$455,000",May 2018,House,2,2,1,933,Kempton Azzopardi - Nedlands,$450pw,Sep 2016,70
242,85 Florence Road,"$2,115,000",May 2018,House,4,3,2,"1,012",Jamie Loh Real Estate - Cottesloe,,,222
243,40/95 Monash Avenue,"$650,000",May 2018,,,,,"6,622",,,,
244,1/61 Stirling Highway,"$390,000",May 2018,,,,,88,Acton - Dalkeith,,,312
245,30 Monash Avenue,"$960,000",May 2018,House,5,2,3,490,Shellabears - Cottesloe,$650pw,Jun 2018,207
246,24 Kingsway,"$1,375,000",May 2018,House,4,,,883,,,,
247,13 Vincent Street,"$1,430,000",Apr 2018,House,2,1,,997,Rossen Real Estate - Nedlands,,,
248,51 Taylor Road,"$1,300,000",Apr 2018,House,,,,923,Abel McGrath Property Group - Claremont,,,
249,22 Dalkeith Road,"$1,360,000",Apr 2018,House,4,2,1,"1,034",Abel McGrath Property Group - Claremont,,,
250,45 Louise Street,"$1,635,000",Apr 2018,House,4,1,3,"1,056",Airey Real Estate - CLAREMONT,,,
251,42A Langham Street,"$900,000",Apr 2018,,,,,102,Airey Real Estate - CLAREMONT,,,102
252,191-193 Stirling Highway,"$3,250,000",Apr 2018,,,,,680,,"$12,775pw",Jun 2011,436
253,18 Leopold Street,"$2,200,000",Apr 2018,House,4,2,2,"1,019",Abel Property - Leederville,,,261
254,19/35 Esplanade,"$1,380,000",Apr 2018,,,,,184,Ray White City Residential (Perth),$875pw,Dec 2017,131
255,67 Verdun Street,"$1,200,000",Mar 2018,House,4,3,2,305,Realmark Western Suburbs - NEDLANDS,"$1,250pw",Apr 2017,348
256,2 Boronia Avenue,"$1,440,000",Mar 2018,House,4,3,2,760,Mack Hall Real Estate - Claremont,,,
257,4/112 Stirling Highway,"$520,000",Mar 2018,Apartment,2,1,1,104,Abel McGrath Property Group - Claremont,$350pw,Jun 2018,88
258,4/36 Martin Avenue,"$420,000",Mar 2018,House,2,1,1,"1,363",Acton - Dalkeith,$350pw,Nov 2018,
259,87 Meriwa Street,"$1,500,000",Mar 2018,House,4,3,2,468,Abel McGrath Property Group - Claremont,,,104
260,67 Archdeacon Street,"$1,925,000",Mar 2018,House,4,2,2,810,Abel McGrath Property Group - Claremont,,,
261,3/52 Weld Street,"$695,000",Mar 2018,,,,,117,William Porteous Properties International Pty Ltd ,,,117
262,47 Archdeacon Street,"$1,780,000",Mar 2018,House,3,2,2,809,Hub Residential - SWANBOURNE,$800pw,Jan 2007,210
263,2/20 Monash Avenue,"$580,000",Mar 2018,Townhouse,3,1,2,,Kim Roberts & Associates Real Estate - NEDLANDS,$400pw,Jul 2020,
264,2/2A Marita Road,"$510,000",Mar 2018,Townhouse,2,1,1,923,Acton - Dalkeith,$480pw,Feb 2020,83
265,27 Langham Street,"$1,930,000",Mar 2018,House,4,2,3,908,Abel McGrath Property Group - Claremont,,,323
266,9 Webster Street,"$480,000",Mar 2018,,,,,"1,012",,,,84
