,address,price,sold date,type,bedrooms,bathrooms,car space,Land size,agent,Building size,rent,rent date
209,49/229 Adelaide Terrace,"$319,000",Apr 2020,,,,,905,,,,
210,181/369 Hay Street,"$440,000",Apr 2020,,,,,136,,,$420pw,Apr 2020
211,10 Robinson Avenue,"$880,000",Apr 2020,House,2,2,2,241,Claude Iaconi,,$550pw,Oct 2018
212,1/10 Wright Street,"$355,000",Apr 2020,Townhouse,2,1,1,"1,363",,,$340pw,Oct 2018
213,4/54 Cheriton Street,"$550,000",Apr 2020,,,,,163,,102,$480pw,Dec 2018
214,11/32 Fielder Street,"$450,000",Apr 2020,Apartment,,,,,,,,
215,26/69 Milligan Street,"$405,000",Apr 2020,,,,,121,,79,$385pw,May 2017
216,60/580 Hay Street,"$600,000",Mar 2020,,,,,141,,78,,
217,11/2 Braid Street,"$450,000",Mar 2020,Apartment,2,2,2,870,Mary Parker,104,$550pw,Feb 2019
218,66b Robinson Avenue,"$775,000",Mar 2020,House,3,1,2,305,Claude Iaconi,120,,
219,106/580 Hay Street,"$425,000",Mar 2020,,,,,120,,82,$520pw,Jan 2019
220,14/122 Mounts Bay Road,"$365,000",Mar 2020,,,,,102,,80,,
221,47/418 Murray Street,"$365,000",Mar 2020,Apartment,2,1,1,93,,69,$390pw,Mar 2020
222,202/126 Mounts Bay Road,"$220,000",Mar 2020,Apartment,1,1,,"5,557",,,,
223,29/76 Newcastle Street,"$285,000",Mar 2020,Apartment,1,1,1,"3,356",,52,$320pw,Jun 2018
224,6/150 Stirling Street,"$299,000",Mar 2020,,,,,"3,128",,,$320pw,Jun 2019
225,207/112 Mounts Bay Road,"$240,000",Mar 2020,Apartment,1,1,1,"3,186",,,$390pw,Sep 2016
226,16/250 Beaufort Street,"$345,000",Mar 2020,,,,,116,,72,$390pw,Jul 2010
227,9/82 King Street,"$480,000",Mar 2020,,,,,"1,540",,100,$550pw,Apr 2017
228,66/69 Milligan Street,"$435,000",Mar 2020,,,,,117,,79,$500pw,Feb 2019
229,81/580 Hay Street,"$605,000",Mar 2020,Apartment,2,2,2,149,,95,$700pw,Jan 2020
230,68/154 Newcastle Street,"$460,000",Mar 2020,,,,,110,,75,"$1,000pw",Jun 2012
231,217 Brisbane Street,"$770,000",Mar 2020,House,2,1,1,219,,75,$550pw,Apr 2020
232,5/18 Robinson Avenue,"$765,000",Feb 2020,Townhouse,3,2,2,"2,029",,138,,
233,18/145 Newcastle Street,"$455,000",Feb 2020,Apartment,3,2,,,,,$550pw,Feb 2019
234,516/380 Murray Street,"$401,000",Feb 2020,Apartment,1,1,,,,,$450pw,Dec 2020
235,226 Brisbane Street,"$620,000",Feb 2020,House,,,,490,,113,,
236,4E/811 Hay Street,"$215,000",Feb 2020,House,1,1,,868,,,$300pw,Dec 2020
237,44/122 Mounts Bay Road,"$408,000",Feb 2020,Apartment,2,2,1,,John Tognolini,,,
238,59/418 Murray Street,"$311,000",Feb 2020,Apartment,2,1,1,,,,,
239,43 West Parade,"$620,000",Feb 2020,House,2,1,3,233,,,$395pw,Jun 2017
240,9/569 Wellington Street,"$560,000",Feb 2020,,,,,132,,105,,
241,1416/380 Murray Street,"$461,000",Feb 2020,Apartment,1,1,1,,,,$485pw,Jul 2020
242,905/380 Murray Street,"$417,000",Feb 2020,Apartment,,,,,,,,
243,806/380 Murray Street,"$414,000",Feb 2020,Apartment,,,,,,,,
244,1514/380 Murray Street,"$602,000",Feb 2020,Apartment,2,1,1,,,,$550pw,Apr 2020
245,2/296 Newcastle Street,"$420,000",Feb 2020,Apartment,,,,,,,,
246,34/124 Terrace Road,"$190,000",Feb 2020,,,,,,,,$195pw,Oct 2019
247,21/128 Mounts Bay Road,"$515,000",Feb 2020,Apartment,3,2,2,"5,547",,107,,
248,35/152 Fitzgerald Street,"$420,000",Jan 2020,Apartment,2,2,1,,,,$430pw,Nov 2017
249,180/471 Hay Street,"$660,000",Jan 2020,Apartment,3,2,2,177,,127,$680pw,Sep 2020
250,119 Summers Street,"$830,000",Jan 2020,House,2,1,,507,,,,
251,1906/105 Stirling Street,"$535,000",Jan 2020,Apartment,,,,96,,,,
252,2/10 Smith Street,"$359,000",Jan 2020,,,,,945,,57,$350pw,Jan 2019
253,V808/9 Victoria Avenue,"$275,000",Jan 2020,Apartment,1,1,1,,,,$340pw,Jan 2021
254,63/128 Mounts Bay Road,"$600,000",Jan 2020,Apartment,3,2,2,107,,,$720pw,May 2016
255,200 Bulwer Street,"$940,000",Jan 2020,House,2,1,1,408,,125,,
256,511/126 Mounts Bay Road,"$280,000",Jan 2020,,,,,"5,547",,51,,
257,32 Wade Street,"$710,000",Jan 2020,House,3,1,1,,,,,
258,55/76 Newcastle Street,"$182,000",Jan 2020,Apartment,1,1,1,"3,356",,,,
259,16 Hope Street,"$845,000",Jan 2020,House,3,1,2,403,Nadija Begovich,,$380pw,Aug 2009
260,1506/105 Stirling Street,"$520,000",Jan 2020,Apartment,2,2,2,122,,,$610pw,Mar 2018
