,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
135,35 Victoria Street,"$458,000",Jul 2020,,,House,1,,,150,98,
136,35/33 Malcolm Street,"$537,500",Jun 2020,$550pw,Jan 2021,,,,,122,80,
137,22/4 Delhi Street,"$405,000",Jun 2020,$550pw,May 2019,Apartment,3,2,2,"3,242",98,
138,16/11 Altona Street,"$380,000",Jun 2020,$525pw,May 2020,House,2,2,1,629,69,
139,81/59 Malcolm Street,"$285,000",May 2020,$380pw,Nov 2015,Apartment,2,1,1,,,
140,5/8 Prowse Street,"$470,000",May 2020,$480pw,May 2019,,,,,121,84,
141,61 Kingston Avenue,"$540,000",May 2020,,,House,2,1,1,,,
142,17/135 Carr Street,"$440,000",May 2020,$290pw,Oct 2006,,,,,"2,679",,
143,5/19 Ventnor Avenue,"$485,000",May 2020,$490pw,Nov 2017,Apartment,3,2,1,794,,
144,1605/659 Murray Street,"$407,500",Apr 2020,$520pw,May 2020,Apartment,1,1,1,64,,Peter Wright
145,506/659 Murray Street,"$535,000",Apr 2020,$560pw,May 2019,Apartment,2,2,2,77,,
146,87/38 Kings Park Road,"$345,000",Apr 2020,$315pw,May 2019,Apartment,2,1,1,,,
147,21/2 Colin Street,"$363,000",Apr 2020,$410pw,Dec 2016,Apartment,2,2,1,,,
148,11/132 Carr Street,"$435,000",Mar 2020,$200pw,Nov 2005,,,,,"2,788",,
149,9/19 Ventnor Avenue,"$480,000",Mar 2020,$480pw,Feb 2020,Apartment,3,2,1,,,
150,31/34 Kings Park Road,"$350,000",Mar 2020,$360pw,Nov 2020,Apartment,1,1,1,"2,267",,
151,7D/1303 Hay Street,"$421,500",Mar 2020,$380pw,Oct 2017,Apartment,2,1,1,"1,876",69,
152,4A/1303 Hay Street,"$575,000",Mar 2020,$850pw,Jul 2008,,,,,158,108,
153,1/1 Coolgardie Street,"$480,000",Mar 2020,,,,,,,813,87,
154,20 Lawrence Avenue,"$675,000",Mar 2020,,,,,,,232,63,
155,8/1 Delhi Street,"$540,000",Mar 2020,$500pw,Mar 2020,,,,,174,135,
156,6/863 Wellington Street,"$325,000",Mar 2020,$420pw,Mar 2018,Apartment,2,2,1,110,70,
157,54/66 Cleaver Street,"$175,000",Mar 2020,$230pw,Feb 2018,Apartment,1,1,1,"3,422",40,
158,6/35 Mount Street,"$700,000",Mar 2020,,,Apartment,2,2,2,,,
159,7/1142 Hay Street,"$255,000",Mar 2020,$330pw,Mar 2020,,,,,622,,
160,1210/659 Murray Street,"$490,000",Feb 2020,,,Apartment,,,,109,,
161,3F/1303 Hay Street,"$352,000",Feb 2020,$420pw,Jan 2018,,,,,"1,876",70,
162,1/47 Mount Street,"$1,800,000",Feb 2020,,,Apartment,3,2,3,,,
163,5/18 Bellevue Terrace,"$2,000,000",Feb 2020,"$1,200pw",Sep 2020,Apartment,3,2,2,732,279,
164,1310/659 Murray Street,"$535,000",Jan 2020,$600pw,Jan 2021,Apartment,2,2,1,93,,
165,14/34 Kings Park Road,"$389,000",Jan 2020,,,,,,,102,75,
166,1108/659 Murray Street,"$490,000",Jan 2020,,,Apartment,2,2,1,75,,
167,9/111 Colin Street,"$340,000",Jan 2020,,,,,,,104,58,
168,12/111 Colin Street,"$510,000",Jan 2020,,,Apartment,2,2,1,"1,447",82,
169,1410/659 Murray Street,"$505,000",Dec 2019,,,Apartment,,,,106,,
170,86/9 Delhi Street,"$525,000",Dec 2019,$545pw,Jun 2018,,,,,151,100,
171,126/1178 Hay Street,"$422,500",Dec 2019,$450pw,Feb 2018,,,,,131,65,
172,42/9 Delhi Street,"$555,000",Dec 2019,$550pw,Feb 2021,Apartment,3,2,2,,,
173,49 Victoria Street,"$700,000",Dec 2019,$530pw,Aug 2016,House,3,1,2,,,
174,1304/659 Murray Street,"$380,000",Dec 2019,$525pw,Dec 2019,Apartment,,,,75,,
175,6/26 Florence Street,"$482,500",Dec 2019,$400pw,Jul 2019,,,,,187,122,
176,8 Hammond Street,"$750,000",Nov 2019,$320pw,Oct 2005,House,3,1,,325,134,
177,37 Carr Street,"$528,300",Nov 2019,$350pw,Sep 2019,House,2,1,,225,,
178,11/2 Mayfair Street,"$265,000",Nov 2019,$350pw,Jan 2020,Apartment,1,1,1,78,61,
179,63 Kingston Avenue,"$695,000",Nov 2019,,,House,2,1,1,,,
180,10/149 Carr Street,"$550,000",Nov 2019,,,Townhouse,3,1,1,,,
181,82/1178 Hay Street,"$435,000",Nov 2019,$400pw,May 2019,,,,,105,55,
182,107/1178 Hay Street,"$445,000",Nov 2019,$520pw,Apr 2015,Apartment,2,2,1,114,71,
