,address,price,sold date,rent,rent date,type,bedrooms,bathrooms,car space,Land size,Building size,agent
232,20/134 Aberdeen Street,"$560,000",Jul 2014,$550pw,May 2016,Apartment,2,2,1,"4,520",,NTY Property Group - East Perth
233,12/151 Brisbane Street,"$429,000",Jun 2014,$375pw,Jul 2017,House,1,1,2,94,55,"Professionals Michael Johnson and Co - Mt Lawley, "
234,100 James Street,"$17,710,000",Jun 2014,,,,,,,570,,
235,7/10 Pendal Lane,"$516,000",May 2014,$400pw,Feb 2020,Apartment,2,2,1,,,Abel McGrath the Property People - Leederville
236,1/222 James Street,"$632,500",May 2014,,,,,,,113,98,
237,3A/301 William Street,"$610,000",Apr 2014,,,Apartment,2,1,1,,137,Mark Hay - East Perth
238,3A/305 William Street,"$610,000",Apr 2014,$425pw,Jan 2021,Apartment,2,1,1,137,137,Mark Hay - East Perth
239,3/45 Shenton Street,"$535,000",Apr 2014,$400pw,Nov 2019,Apartment,2,2,1,307,88,Abel McGrath the Property People - Leederville
240,7/154 Newcastle Street,"$642,500",Apr 2014,,,Apartment,2,2,1,,,Realmark Central - East Perth
241,156-158 Aberdeen Street,"$2,575,000",Apr 2014,,,House,5,3,4,980,,William Porteous Properties International Pty Ltd
242,8 Kakulas Crescent,"$1,365,000",29 Mar 2014(Auction),,,House,3,3,2,246,345,Port City Real Estate - Fremantle
243,156 Aberdeen Street,"$2,575,000",Mar 2014,,,House,5,3,4,980,266,
244,10/258-264 Newcastle Street,"$575,000",Mar 2014,$650pw,Jan 2014,Apartment,2,2,1,,,BOSS Real Estate - Northbridge
245,63/134 Aberdeen Street,"$542,000",Mar 2014,$440pw,Mar 2020,Apartment,2,2,1,"4,520",,Limnios Property Group - Perth
246,313-315 William Street,"$280,000",Mar 2014,,,,,,,174,163,
247,123 Aberdeen Street,"$1,285,000",Mar 2014,,,House,8,2,,574,,Abel McGrath the Property People - Leederville
248,12a/182 James Street,"$490,000",Mar 2014,$400pw,Apr 2019,,,,,532,67,Abel McGrath the Property People - Leederville
249,7/255 Newcastle Street,"$1,150,000",Feb 2014,,,,,,,191,191,
250,36/191 James Street,"$475,000",Feb 2014,$415pw,Apr 2016,,,,,"1,797",79,Abel McGrath the Property People - Leederville
251,39/134 Aberdeen Street,"$549,000",Feb 2014,$415pw,Nov 2017,Apartment,2,2,1,"4,520",,Ray White - Accord
252,6/71 Parry Street,"$455,000",Feb 2014,,,Apartment,1,1,1,,65,Realwest Property - Subiaco
