,address,price,sold date,type,bedrooms,bathrooms,car space,agent,rent,rent date,Land size,Building size
116,1/153 Fairway,"$455,000",Mar 2017,,,,,The Property Exchange - Subiaco,$525pw,Feb 2013,"1,140",55
117,4/14 Cook Street,"$775,000",Feb 2017,Townhouse,3,2,2,Airey Real Estate,$600pw,Nov 2019,"1,366",125
118,3/11 The Avenue,"$900,000",Feb 2017,Townhouse,3,2,4,Mack Hall Real Estate - Claremont,$700pw,Aug 2017,"1,012",149
119,9/25 The Avenue,"$470,000",Feb 2017,,,,,Abel McGrath Property Group - Claremont,$390pw,Nov 2018,"1,850",74
120,6/14-18 Kings Park Avenue,"$835,000",Feb 2017,House,3,2,2,,,,190,190
121,6/14 Kings Park Avenue,"$835,000",Feb 2017,Apartment,3,2,2,Acton Cottesloe - Peppermint Grove,,,190,
122,47/3 Park Avenue,"$1,650,000",Feb 2017,House,3,2,2,Mack Hall Real Estate - Claremont,,,175,175
123,11e 16 Kings Park Avenue,"$949,500",Feb 2017,,,,,Mack Hall Real Estate - Claremont,,,,
124,6/166 Broadway,"$3,500,000",Jan 2017,,,,,William Porteous Properties International Pty Ltd ,"$1,750pw",Dec 2016,374,300
125,1/133 Fairway,"$490,000",Jan 2017,,,,,,,,,87
126,1/42 Broadway,"$433,000",Dec 2016,Apartment,2,1,1,Realmark Western Suburbs - NEDLANDS,$350pw,Nov 2020,"1,096",85
127,9/12 Wingfield Avenue,"$840,000",Dec 2016,Apartment,3,2,1,Acton - Dalkeith,$625pw,Nov 2016,"4,918",130
128,4/18 Park Road,"$707,000",Dec 2016,Apartment,2,2,1,Mint Real Estate - Claremont,,,,
129,10/9 Everett Street,"$410,000",Nov 2016,Apartment,2,1,1,Rossen Real Estate - Nedlands,,,109,90
130,1/15 Cook Street,"$625,000",Nov 2016,House,3,1,2,Airey Real Estate,$500pw,Sep 2016,"1,366",116
131,8/149 Fairway,"$520,000",Nov 2016,Apartment,2,1,1,ACTON Dalkeith,$400pw,Jan 2014,846,69
132,3/11 Wingfield Avenue,"$945,000",Oct 2016,House,2,1,2,Bexleys Real Estate - Wembley,,,"1,874",
133,4/60 Broadway,"$475,000",Sep 2016,,,,,Harcourts - Integrity,$495pw,Feb 2017,"1,765",87
134,29 Parkway,"$805,000",Sep 2016,House,3,1,1,William Porteous Properties International Pty Ltd ,$550pw,Jul 2019,300,117
135,2W/4 Crawley Avenue,"$695,000",Sep 2016,Apartment,3,2,2,Kempton Azzopardi - Nedlands,,,,
136,59/3 Park Avenue,"$1,500,000",Aug 2016,Apartment,3,2,3,Vivians Residential Real Estate - MOSMAN PARK,,,175,175
137,8/17-23 The Avenue,"$327,000",Aug 2016,Apartment,1,1,1,Kempton Azzopardi - Nedlands,$335pw,Jan 2018,"2,866",
138,8/17 The Avenue,"$327,000",Aug 2016,,,,,,$350pw,Nov 2016,"2,866",
139,4/158 Broadway,"$322,000",Aug 2016,House,1,1,1,Realmark - Applecross,$310pw,Nov 2019,941,54
140,1/18 PARK Road,"$735,000",Jul 2016,,,,,,$600pw,Dec 2017,121,
141,2/18 PARK Road,"$720,000",Jul 2016,,,,,,$650pw,Feb 2021,123,
142,5/18 PARK Road,"$530,000",Jul 2016,,,,,,$420pw,Feb 2021,,
143,9/4 Crawley Avenue,"$725,500",Jul 2016,Apartment,2,2,2,Space Real Estate - Cottesloe,,,"3,847",158
144,13 The Avenue,"$2,300,000",Jul 2016,,,,,Signature Property Group WA - SUBIACO,,,"1,012",
145,4/20 Mounts Bay Road,"$1,020,000",Jun 2016,House,2,2,2,LJ Hooker - Claremont,$595pw,Jul 2016,"1,540",147
146,4/16 The Avenue,"$4,800,000",Jun 2016,Apartment,4,3,4,William Porteous Properties International Pty Ltd ,,,416,416
147,34/3 Park Avenue,"$1,100,000",Jun 2016,House,3,2,2,LJ Hooker - Claremont,,,175,175
148,7/158 Broadway,"$295,000",May 2016,Apartment,1,1,1,Key Performance Realty - Perth,,,941,9
149,14/150 Broadway,"$695,000",Apr 2016,Apartment,2,1,1,Indo-Pacific Property - Sage on Broadway,,,,
150,4/150 Broadway,"$780,000",Apr 2016,Apartment,2,2,1,Indo-Pacific Property - Sage on Broadway,,,,
151,1/159 Fairway,"$335,000",Apr 2016,,,,,Abode Real Estate - Cottesloe,$300pw,Nov 2019,"1,608",
152,5/7 Princess Road,"$420,000",Apr 2016,,,,,,$400pw,Dec 2018,683,65
153,5/1 Kings Park Avenue,"$850,000",Apr 2016,Apartment,2,2,2,TM Residential - Dalkeith,$325pw,Jun 2004,201,201
154,23/17-23 The Avenue,"$323,000",Apr 2016,House,1,1,1,Acton - Dalkeith,,,,
155,32/17 The Avenue,"$325,000",Mar 2016,,,,,Abode Real Estate - Cottesloe,$300pw,Jun 2016,"2,866",
156,9 Myers Street,"$1,025,000",Mar 2016,House,4,2,2,Abel McGrath Property Group - Claremont,,,238,194
157,3/135 Fairway,"$535,000",Mar 2016,,,,,,$425pw,May 2016,607,87
158,12/5 Park Avenue,"$750,000",Mar 2016,,,,,,,,"4,918",
159,20e/14-18 Kings Park Avenue,"$1,390,000",Mar 2016,House,3,2,2,,"$1,150pw",Mar 2015,"5,587",184
160,3/35 Fairway,"$475,000",Mar 2016,,,,,Kempton Azzopardi - Nedlands,$425pw,Mar 2021,608,61
161,1G/173 Mounts Bay Road,"$2,200,000",Feb 2016,,,,,,,,,
162,4/8 Wingfield Avenue,"$785,000",Feb 2016,,,,,,$650pw,Feb 2021,"2,533",144
163,50/3 Park Avenue,"$1,500,000",Feb 2016,,,,,,,,175,175
164,226 Hampden Road,"$1,060,000",Dec 2015,,,,,Acton - Dalkeith,,,508,
165,31 Cook Street,"$1,200,000",Dec 2015,House,3,,,,,,729,
166,4/48 Broadway,"$435,000",Dec 2015,Townhouse,2,1,1,Renouf Real Estate - Swanbourne,$360pw,Jul 2018,"1,613",69
167,5/22 Mounts Bay Road,"$2,525,000",Dec 2015,Apartment,3,2,2,Space Real Estate - Cottesloe,"$1,500pw",Oct 2015,"2,390",307
168,4/3 Park Avenue,"$1,075,000",Dec 2015,Apartment,3,1,2,Abel McGrath The Property People - Leederville,$990pw,Nov 2013,175,175
169,4/2 Kings Park Avenue,"$2,250,000",Nov 2015,Apartment,4,3,2,Jamie Loh Real Estate - Cottesloe,"$1,450pw",Jan 2021,293,186
170,6/124 Broadway,"$325,000",Nov 2015,,,,,Kempton Azzopardi - Nedlands,$300pw,Jul 2019,882,
171,2/3 Wingfield Avenue,"$1,250,000",Nov 2015,Apartment,3,2,2,,$895pw,Mar 2016,267,155
172,1/20 Mounts Bay Road,"$1,050,000",Oct 2015,,,,,,$650pw,May 2016,202,147
